name,screen_name
Tammy Duckworth,RepDuckworth
Judy Chu,RepJudyChu
Ruben Gallego,RepRubenGallego
Xavier Becerra,RepBecerra
Rep. John Larson,RepJohnLarson
Congressman Tim Ryan,RepTimRyan
Rep. Dan Kildee,RepDanKildee
Dispatch Politics,OhioPoliticsNow
Dr. Robert Jeffress,robertjeffress
Reince Priebus,Reince
AFL-CIO,AFLCIO
Sen. Tammy Baldwin,SenatorBaldwin
Jesse Ferguson,JesseFFerguson
Ben Kesling,bkesling
Donald J. Trump,realDonaldTrump
Hillary for WI,HillaryforWI
Sean Hannity,seanhannity
Constance Zimmer,ConstanceZimmer
Oliver Griswold,originalgriz
ABC News Politics,ABCPolitics
NBC Politics,NBCPolitics
CBS News,CBSNews
L.A. Times Opinion,latimesopinion
LaDavia Drane,LSD_Esq
The Cut,TheCut
Post Politics,postpolitics
Michelle Kwan,MichelleWKwan
Wonkblog,Wonkblog
David Martosko,dmartosko
Greta Van Susteren,greta
People Magazine,people
Kyle Rush,kylerush
Donald Trump Jr.,DonaldJTrumpJr
Jason Tengco,jastengco
Emma Grundhauser,emgrundy
Newt Gingrich,newtgingrich
Adriana Cohen,AdrianaCohen16
Gabe Ortíz,TUSK81
WDAS-FM,wdasfm
Lauren Sher,LSherABC
Nick Merrill,NickMerrill
Hillary for New York,HillaryForNY
Hartford Courant,hartfordcourant
Mark Halperin,MarkHalperin
John Stossel,JohnStossel
Gov. Mike Huckabee,GovMikeHuckabee
Dr. Ben Carson,RealBenCarson
Corey R. Lewandowski,CLewandowski_
Rupert Murdoch,rupertmurdoch
Donald Trump-Nevada,TrumpNV
Bret Easton Ellis,BretEastonEllis
Joe Scarborough,JoeNBC
Ben Shapiro,benshapiro
Tom Odell,TomOdell
Darren Jordan,DarrenJJordan
Elizabeth Curtiss,namusca
Laura Ingraham,IngrahamAngle
Kevin Cirilli,kevcirilli
Erin Burnett,ErinBurnett
Geraldo Rivera,GeraldoRivera
Willie Robertson,williebosshog
Sarah Palin,SarahPalinUSA
**TRUMPSTER JANEE**,JaniceTaylor912
