timestamp,sn,text,EST
2017-07-17 00:40:01,TheAVHub,"Man is a military animal, glories in gunpowder, and loves parade. - #DonaldTrump",2017-07-16 19:40:01
2017-07-17 00:39:57,mromero08151,RT @amjoyshow: Now on #AMJoy... #DonaldTrump's personal attorney Jay Sekulow going on ALL FIVE #SundayMorning political shows. Thoughts #re…,2017-07-16 19:39:57
2017-07-17 00:39:17,Pollizer,"Fox News Just Shared A Poll That Trump Is Going To HATE, Meltdown Inevitable (TWEET) #foxnews #DonaldTrump https://t.co/YveSnppex5",2017-07-16 19:39:17
2017-07-17 00:38:59,YMcglaun,"RT @WashTimes: #DonaldTrump names #TyCobb as White House special counsel in light of ongoing #Russian investigation. #russiameeting
https:/…",2017-07-16 19:38:59
2017-07-17 00:38:57,RashidGohar1,The #Wahhabi Mind-Set https://t.co/kZIbQA4R2y #Wahhabism #Salafism #SaudiArabia #ISIS #Taliban #BokoHaram #AlShabab #DonaldTrump,2017-07-16 19:38:57
2017-07-17 00:38:37,Chris19702,RT @Jeff81442228: Another great thread by @ThomasWictor #AmericaFirst #trumptrain #Trumprussia #DonaldTrumpJr #DonaldTrump #ccot #russiagat…,2017-07-16 19:38:37
2017-07-17 00:38:12,Syedraza8191,An Introduction to #Wahhabism https://t.co/v6O4dA9H0F #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #BokoHaram #DonaldTrump #MikePence,2017-07-16 19:38:12
2017-07-17 00:38:11,CaptainThach,#USArmyReserve -- United -- #USArmy #PresidentTrump #PresidentDonaldTrump #DonaldTrump #ArmyStrong #GoArmy... https://t.co/oqyG2Y7ZPK,2017-07-16 19:38:11
2017-07-17 00:38:08,ZanettiCartoons,"A Round Shape
Today's cartoon (click) &gt; https://t.co/IBzHelQn7N

#beautifulshape
#DonaldTrump
@realDonaldTrump… https://t.co/O9zphKO5nL",2017-07-16 19:38:08
2017-07-17 00:37:46,UonGuard,"#TrumpTrain,#MAGA,#MakeAmericaGreatAgain,#DonaldTrump,@realDonaldTrump, https://t.co/iT1rSRJbkB",2017-07-16 19:37:46
2017-07-17 00:37:35,Russializer,"""This is not a drill"": reporters say there’s a flood of #DonaldTrump #Russia news coming this week #Buckle https://t.co/5cWUlsQTn9",2017-07-16 19:37:35
2017-07-17 00:37:26,LOLURWNJ,"RT @JamesReader_RP: #DonaldTrump’s Sunday Tweet About His Approval Rating is Complete, Total, Delusional Horseshit &gt;&gt;https://t.co/EPYVjn34Z…",2017-07-16 19:37:26
2017-07-17 00:37:01,Kashif_Noor_MHD,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:37:01
2017-07-17 00:37:01,1rizwan_shoukat,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:37:01
2017-07-17 00:37:01,FaisalBashir_pk,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:37:01
2017-07-17 00:37:00,Rehman_ali0,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:37:00
2017-07-17 00:36:58,Haashir_Ali,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:36:58
2017-07-17 00:36:58,KartikGohar,RT @rafu007: What is #Wahhabism? https://t.co/bxylUj0AXy #Salafism #Deobandi #ISIS #Taliban #Islam #Quran #DonaldTrump #MikePence #USA #Sau…,2017-07-16 19:36:58
