name,screen_name
Tyler Oakley,tyleroakley
Barack Obama,BarackObama
U.S. News Opinion,USNewsOpinion
Business Insider,businessinsider
Mike Schmidt,mikereedschmidt
NowThis,nowthisnews
Brian Fallon,brianefallon
Ben White,morningmoneyben
Hillary Clinton,HillaryClinton
BuzzFeed,BuzzFeed
Dallas Morning News,dallasnews
Sara Jacobs,sarajacobs89
Liz Romanoff Silva,LizRomanoff
Slate,Slate
John Podesta,johnpodesta
Reuters Politics,ReutersPolitics
Ann Coulter,AnnCoulter
Hillary for Arizona,HillaryforAZ
RSBN TV,RSBNetwork
DRUDGE REPORT,DRUDGE_REPORT
Sara Solow,sarasolow
Jamil Smith,JamilSmith
Yahoo News,YahooNews
Zerlina Maxwell,ZerlinaMaxwell
Fox News,FoxNews
Hillary for Utah,HillaryforUT
Yamiche Alcindor,Yamiche
Hillary for Georgia,HillaryForGA
Morning Joe,Morning_Joe
Paul Begala,PaulBegala
Justin Timberlake,jtimberlake
U.S. Postal Service,USPS
Maria Cardona,MariaTCardona
Rhett Buttle,rhettbuttle
refinery29,Refinery29
Hillary for Michigan,HillaryforMI
Michael Shapiro,mpshapiro
Deadspin,Deadspin
Marlon Marshall,MarlonDMarshall
Maya Harris,mayaharris_
Maddow Blog,MaddowBlog
Andra Day,AndraDayMusic
Meredith Walker,meredeetch
WIRED,WIRED
Teen Vogue,TeenVogue
Hillary for Colorado,HillaryforCO
igorvolsky,igorvolsky
PolitiFact,PolitiFact
Malala Fund,MalalaFund
max linsky,maxlinsky
Hillary for Iowa,HillaryforIA
Gabrielle Giffords,GabbyGiffords
NRA,NRA
Carl Icahn,Carl_C_Icahn
Field of Fight,FieldofFight
Quora,Quora
Elizabeth Warren,elizabethforma
NFIB,NFIB
UAW,UAW
The Democrats,TheDemocrats
Bishop Garrison,BishopGarrison
Hillary for Virginia,HillaryforVA
Barbara Kinney,barb_kinney
Susan Rice,AmbassadorRice
CNN Politics,CNNPolitics
Kenneth P. Vogel,kenvogel
Hillary for Nevada,HillaryforNV
Mike Pence,mike_pence
